Class Index,Title,text
1,Kerry Campaign Seeks Equal Time Over Film (AP),"AP - Sen. John Kerry's presidential campaign, contending that Sinclair Broadcast Group wants to help President Bush by airing an anti-Kerry documentary two weeks before the election, asked on Friday that each station carrying the program provide a similar amount of time to Kerry supporters."
4,Taiwan #39;s Acer picks a European as president,"TAIPEI Acer, the Taiwan computer company, named Gianfranco Lanci of Italy as its president on Wednesday, an appointment that signals the company #39;s ambitions to expand its global market share."
2,Conte turned athletes into towers of power,"HE IS THE face of sporting evil, this man who once was an accomplished bass player and now leers at us from a television screen describing the hell he hath wrought on the games people play and on the people who play them."
3,"Update 4: Tokyo Stocks Fall, US Dollar Climbs","Tokyo share prices fell steeply Friday, led by technology stocks after a disappointing report from US chip giant Intel. The US dollar was up against the Japanese yen."
3,SABMiller #39;s China JV in \$154m deal,"SABMiller, the world #39;s second largest brewer #39;s Chinese joint-venture, China Resources Breweries Limited (CRB) has acquired the Chinese brewing interests of Lion Nathan for an equity value of \$71-million and estimated assumed debt of \$83-million, CRM "
1,Ukraine awaits election-deal details,The Supreme Court is expected to rule Friday on rerunning the country's disputed presidential election.
4,Remote Control Could Save Soldiers' Lives (AP),"AP - Unmanned aerial vehicles and other so-called ""stand-off"" weapons, whether currently used or in secret testing, belong to a developing high-tech arsenal that the U.S. military says will help minimize casualties as it battles insurgents."
2,Not quite high Tech,"Virginia Tech just couldn't seem to get going. There were turnovers. There were botched plays. There were missed opportunities. Then, in the last 5 1/2 minutes, Bryan Randall and the Hokies turned it all around."
2,Steelers #39; Burress won #39;t return against Giants,"Thursday, he took himself out of consideration during a conversation with Pittsburgh Steelers trainer John Norwig.  quot;When I #39;m running full speed and make a little move, I still feel it a little bit, quot; Burress said of his hamstring."
2,Hearing held on Hamm medal,Paul Hamm said yesterday that he would give back his Olympic gold medal if sport #39;s highest court ordered him to. But lawyers for the American gymnast and the 
1,"Weakened Arafat Heads for France, Cancer Suspected"," RAMALLAH, West Bank (Reuters) - Palestinian leader Yasser  Arafat, weakened by what doctors think may be leukemia, flew  for treatment in France on Friday from the besieged West Bank  headquarters where he has been pinned for over 2-1/2 years."
1,Election chaos? (U.S. News   World Report),"U.S. News   World Report - Michael Cadigan's day job is practicing commercial law in Albuquerque. But over eggs at the trendy Gold Street Caffe in the heart of downtown, he and a dozen other lawyers are immersing themselves in the intricacies of election law. On Election Day, they plan to be out in force for Democrat John Kerry at polling places across New Mexico, where Al Gore won in 2000 by just 366 votes.  quot;We know there was a lot of monkey business with counting ballots before, quot; says Cadigan.  quot;We want to make sure that doesn't happen again. ..."
3,Beacon Shares Gain 22 Percent in Debut,Beacon Roofing Supply Inc. saw its shares jump nearly 22 percent in its first day of trading Thursday after the company priced its initial public offering at the midpoint of its expected \$12 to \$14 price range.
2,England sweeps Zims,England has swept its one-day series against Zimbabwe 4-0 with a 74-run win in Bulawayo. Veteran Darren Gough took 4-34 as Zimbabwe was bowled out for 187 chasing 262 for victory.
4,Sun To Refresh UltraSPARC Servers,"SAN FRANCISCOSun Microsystems Inc. next week will roll out two new servers featuring its UltraSPARC IV processors, a Sun executive said Friday."
2,Cabrera Leads Red Sox Past Blue Jays 5-4 (AP),"AP - Orlando Cabrera hit a run-scoring double off the Green Monster in the ninth inning on reliever Justin Speier's second pitch of the game, giving the Boston Red Sox a 5-4 win over the Toronto Blue Jays on Tuesday night."
2,Red Sox explode in the 8th for 12-5 win,"The New York Yankees are going to the playoffs, and they will probably go there as AL East champions, too. They just won #39;t be clinching the division in Fenway Park."
1,N Korea crisis talks set to resume,A top North Korean official has flagged the resumption of multilateral talks over the country #39;s efforts to develop nuclear weapons.
4,Playstation 3 to arrive spring 2006 In Japan,NVIDIA HAS MADE A big noise about Playstation 3 deal but unfortunately you won #39;t see this console any time soon. Nvidia stock holders definitely know about Sony and its Playstation 3 killer business and therefore Nvidia is recovering on the stock market.
3,Lockheed Martin led group wins 3 billion dollar US Postal Service &lt;b&gt;...&lt;/b&gt;,"OWEGO, United States : A group of technology and telecommunications heavyweights led by Lockheed Martin Corp has won a potential three billion dollar contract from the US Postal Service to revamp its vast data communication networks, Lockheed Martin said."
4,"Locusts Devastate Mauritania Crops, Others Escape (Reuters)","Reuters - Crop-devouring locusts have caused major\damage to cereals in Mauritania but other West and Central\African states have suffered much less than feared from the\worst infestation in over a decade, the U.N. said on Thursday."
1,US not involved in Afghan vigilante trial-official,"An Afghan court was following proper procedures in its trial of three US men accused of torture and kidnapping and the United States would exert no influence on next week #39;s verdict, a US official said on Tuesday."
2,Warriors lock up young veterans,"Staring at the possibility of watching two of his young standouts stage a walkout on opening night, Chris Mullin made one of the most important decisions in recent Golden State Warriors history Monday."
3,Yukos plans to fix itself before auction,"The Russian oil giant Yukos said yesterday that management was putting together an emergency plan to continue running the company for a few months, even after the auction of its prize asset in December."
4,REVIEW: New IMac G5 Short on Extras (AP),"AP - For six years, iMacs have set the standard for the PC industry with eye-popping designs, clever utilization of space and leaps forward in usability. Lately, though, Apple Computer Inc. seems to be making more waves with iPod music players than its venerable consumer PCs."
3,"With work, Dana-Farber learns from '94 mistakes","Nurse Teresa Mazeika has known the woman knitting in the blue reclining chair for months. But she asks Carolyn Harlow her name and birthday anyway, as she approaches with chemotherapy for Harlow's blood cancer. Mazeika, a 17-year nursing veteran at Dana-Farber Cancer Institute, isn't taking any chances that she is about to give the drug to the wrong patient."
2,A shot in the arm for all,"OLYMPIA, Greece -- A brilliant idea, taking the shot put back to the birthplace of the Olympic Games, proving, if nothing else, that everything old really can become new again. "
4,Intel Cancels Revamped Chip,The Intel Corporation said on Thursday that it was canceling its plans to market a faster version of its Pentium 4 chip for personal computers to focus on products with  quot;more bang for the buck.
2,Rocket wills Astros to win,"Houston - -- As if Roger Clemens did not have enough to chew on Saturday morning as he sat in the Astros #39; clubhouse, in walks owner Drayton McLane, not to say  quot;good luck quot; or  quot;go get  #39;em, quot; but to tell Clemens,  quot;This is what we got you for."
3,IP Proposal,Ameren is offering some union workers at Illinois Power the chance to walk away from new management. The Saint Louis based utility company announced a voluntary separation opportunity for certain Ameren IP employees.
1,Show lights up Paralympics,"The XII Paralympics begins in Athens, after a spectacular opening ceremony."
3,TV's Passport Stamp of Approval,The sixth season of a popular reality television show is ready to rock the world.
4,Science counts species on brink,"A list of 15,000 species threatened with extinction - many of them by human activity - is published."
2,"Three jockeys, one trainer arrested","LONDON -- British police arrested 16 people, including three jockeys and a trainer, Wednesday as part of a major crackdown on corruption in horse racing."
1,Insurgents hammer central Baghdad,"BAGHDAD - Insurgents hammered central Baghdad on Sunday with one of their most intense mortar and rocket barrages ever in the heart of the capital, heralding a day of violence that left nearly 60 dead nationwide as security appeared to spiral out of "
4,PalmSource Promises Linux OS,"PalmSource today promised a Linux version of its operating system, together with a cut-down offering for use in budget mobiles, after buying mobile phone developer China Mobilesoft."
3,Shopping surges ahead of Christmas,"Retail sales have risen sharply in the run-up to the key Christmas season, adding to data which suggests the economy is gathering pace and interest rates may rise next year."
2,Mumbai set for battle,"The battle lines are drawn on the third of the fourth and final test in Mumbai. After a miserable batting display, India fought back thanks to their bowlers to restrict Australia #39;s first innings lead to 99 runs."
2,Smith says Harmison is the weakest link,"The South Africa captain Graeme Smith has stirred things up before today #39;s first Test against England by claiming that Steve Harmison, the world #39;s leading bowler, is mentally vulnerable and can be disarmed for the rest of the five-Test series if the "
2,Athens coverage a winner for NBC,"NBC and its family of cable networks flooded American households with nearly nonstop coverage of the Athens Olympics, and the strategy - along with strong performances by the US teams in swimming and gymnastics -roduced not only a ratings increase "
3,Microsoft vs Sendo: It #39;s over,"The legal battle between UK phone manufacturer Sendo and Microsoft has been settled, the companies announced on Monday morning. Sendo had been suing Microsoft for the alleged theft of trade secrets, fraud "
1,Danish group #39;s gift criticized,A Danish group has caused controversy in Colombia by publicly donating money to the country #39;s largest Marxist guerrilla organization.
3,Fiat and General Motors to square up in Switzerland,MILAN (AFP) - Sharp differences between the Fiat Group and General Motors over an option by Fiat to sell its loss-making auto operations to GM will be the focus of a meeting between the two companies in Zurich on Tuesday.
2,Cocky Arsene,"Arsene Wenger is confident that Arsenal will make the knockout stages of the Champions League, despite needing to beat Rosenborg to make sure."
1,Ivory Coast Leader's Camp Criticizes Arms Ban, ABIDJAN (Reuters) - Supporters of Ivory Coast's President  Laurent Gbagbo criticized on Tuesday a United Nations decision  to impose an arms embargo on the world's top cocoa grower but  rebel leaders welcomed the move.
4,AOL Dumping Some Broadband,"unsupported writes  quot;Just days after news that AOL will be breaking up into 4 business units, AOL is telling existing broadband customers in 9 Southern states to find a new carrier."
1,Bush Urges Putin Uphold Russian Democracy (Reuters),"Reuters - President Bush on Wednesday urged\Russian President Vladimir Putin to ""uphold the principles of\democracy"" in a carefully worded message expressing concern\about Putin's proposed political reforms."
4,Nokia To Expand On-Device Storage Options,"&lt;a href=""http://news.com.com/NokiajoinsSecureDigitalindustrygroup/2100-1039_3-5365922.html""&gt;Nokia joins Secure Digital industry group&lt;/a&gt; &lt;font size=-1 color=#6f6f6f&gt;&lt;nobr&gt;CNET News.com&lt;/nobr&gt;"
1,Delegation Is Delayed Before Reaching Najaf,"AGHDAD, Iraq, Aug. 17  A delegation of Iraqis was delayed for security reasons today but still intended to visit Najaf to try to convince a rebellious Shiite cleric and his militia to evacuate a shrine in the holy city and end ..."
2,Starting for Cardinals Has Privileges,St. Louis is a collection of superstar position players and anonymous pitchers.
1,"Myanmar PM sacked, arrested for corruption (AFP)","AFP - Myanmar's Prime Minister General Khin Nyunt -- among the most reformist of the military regime's leaders -- has been sacked and placed under house arrest for alleged corruption, a Thai government spokesman said."
1,Panama pardons Castro 'plotters',Four men accused of planning to kill Cuba's Fidel Castro have been pardoned by Panama's president.
4,Oracle Overhauls Sales-Side Apps for CRM Suite (NewsFactor),"NewsFactor - Oracle (Nasdaq: ORCL) has revamped its sales-side CRM applications in version 11i.10 of its sales, marketing, partner relationship management and e-commerce application."
4,Nortel to file restated results next year,"Nortel Networks said today that after months of trying to untangle faulty financial results, it won't file its 2003 and first-half 2004 results until early next year."
2,Everton beats Liverpool 1-0 in Merseyside Derby,"Lee Carsley scored the winner in the 68th minute, giving Everton a 1-0 victory Saturday over Liverpool in the 200th Merseyside Derby."
2,Fleisher Surges Clear,Bruce Fleisher carded a seven-under-par 65 to take a three-shot lead after the second round of the Greater Hickory Classic in North Carolina.
3,Oil price down as Iraq fears ease,The price of oil has fallen as fears about interruptions to supplies being pumped out of Iraq eased slightly.
3,Airbus chief wins fight to take controls at Eads,The head of plane maker Airbus yesterday won a bitter battle to oust his boss from the helm of parent aerospace group Eads after winning the support of a key shareholder.
3,EU foreign ministers hope to break deadlock over ASEM summit,The European Union said Friday it  quot;hoped to reach a conclusion quot; at a meeting of foreign ministers on the participation of military-ruled Myanmar in an upcoming summit of Asian and European nations.
4,Siebel looks to midmarket to bolster revenues,CRM software giant Siebel Systems said yesterday that it is launching a new program that will cater to small and midsize businesses in a bid to help it boost flat revenues.
3,GM Protests Spread Across Europe,"Tens of thousands of General Motors workers across Europe were set to stop working on Tuesday in a sign of solidarity with their German colleagues, who face massive job cuts."
4,Disney takes sides in battle for next generation DVD,"Hollywood movie powerhouse Walt Disney has taken sides with Japans Sony Corp in a bitter battle between studios to define a technical standard for next generation DVDs, it said."
2,Camarillo #39;s Homer Lifts Mexico,"SOUTH WILLIAMSPORT, Pa., Aug. 26 -- Alan Camarillo #39;s first homer of the series came at a perfect time for Mexico. Camarillo hit a three-run homer in the 10th inning on Thursday to propel Guadalupe, Mexico, into "
4,U.S. Justice Department Cracks Down Internet Crime,"The FBI seized computers, software and equipment as part of an investigation into illegal sharing of copyrighted movies, music and games over an Internet ""peer-to-peer"" network, Attorney General John Ashcroft announced Wednesday."
1,Black Watch troops move into position,The first units of a Black Watch battlegroup are due to arrive today in their new positions south of Baghdad as Tony Blair indicated that more British troops may replace them in the American-controlled zone before the end of the year.
1,Ivorian unrest poses new test for France,"Two years after French forces arrived to restore order in turmoil-torn Ivory Coast, a peace agreement between Ivorian rebels and the government of President Laurent Gbagbo is in "
2,Spanish flyer: Markko Martin steers his Ford Focus during the &lt;b&gt;...&lt;/b&gt;,MARKKO MARTIN won his second event in succession as he held off a late charge from Marcus Gronholm to come out on top in the Rally of Catalunya.
2,Tenth-Ranked Ga. Gets Past Ark. 20-14 (AP),"AP - David Greene threw for a career-high 382 yards and two touchdowns, Thomas Brown rushed for 107 yards and No. 10 Georgia held off Arkansas 20-14."
1,'Wrong kind of fall' for Castro,The US declines to wish Fidel Castro a speedy recovery after he fractures bones in a fall at a public ceremony.
1,Ivory Coast Leader Urges End to Violence, ABIDJAN (Reuters) - Ivory Coast President Laurent Gbagbo  appealed for an end to the anti-French violence which erupted  after France destroyed most of the country's air force in  retaliation for the killing of nine French peacekeepers.
3,Bank sits tight on rates as house price inflation eases off,"By Malcolm Moore, Economics Correspondent (Filed: 10/09/2004). The Bank of England held interest rates at 4.75pc yesterday after a series of recent surveys showed the housing market was slowing down."
4,Dell cuts prices on many corporate products,"Dell on Monday said it had cut prices by as much as fifth for a range of products aimed at US corporate customers, as the computer maker passed along savings from cheaper components."
1,"Keep quiet on U.S. election, Martin tells loose-lipped cabinet (Canadian Press)",Canadian Press - OTTAWA (CP) - Prime Minister Paul Martin served notice to his Liberal cabinet Thursday to clam up with their personal opinions on the U.S. presidential election.
3,Stocks Higher on Drop in Jobless Claims,A sharp drop in initial unemployment claims and bullish forecasts from Nokia and Texas Instruments sent stocks higher in early trading Thursday.
1,EU Move on Cyprus Eases Way for Turkey Deal, BRUSSELS (Reuters) - The European Union and Turkey inched  toward a historic agreement on starting membership talks on  Friday as EU leaders softened their demands on the crucial  sticking point of Cyprus.
4,Bush Signs Internet Access Tax Ban,State and local governments will be barred from taxing connections that link people to the Internet for the next three years under legislation signed Friday by President Bush.
3,"Options expensing delay not enough,say US senators",A group of Republican senators vowed on Thursday to use the closing days of Congress this year to try and stop accounting rulemakers from requiring the expensing of stock options.
1,Hynix's 3Q Profit More Than Triples (AP),AP - South Korea's Hynix Semiconductor Inc. said Monday its third-quarter net profit more than tripled from same period last year thanks to steady global prices for memory chips.
2,Inzaghi fit for start of season,"AC Milan striker Filippo Inzaghi is fit for the start of the Serie A season after recovering from an ankle injury, the club said on Thursday."
4,Europeans hail latest data from Mars,"The European Space Agency says data collected by its probe, Mars Express, has provided new evidence in the search for life on Mars."
1,French Hostage Transfer Sparks Release Hopes," PARIS (Reuters) - Hopes of a swift end to the French  hostage crisis rose early Friday, after the Le Figaro newspaper  that employs one of the two captives said the men were now  being held by Iraqi guerrillas willing to negotiate their  release."
4,Chinese Mobile Phone Giant to Open Up to 3000 Internet Cafes,"China #39;s second-largest mobile phone company says it plans to open up to 3,000 Internet cafes by the end of this year. State-controlled China Unicom, which already operates 400 Internet cafes across the country "
1,Iran refutes allegation about collaboration with IAEA chief,"Iran on Sunday refuted a report made by some US media that UN nuclear watchdog chief Mohamed ElBaradei had collaborated with Iran by giving Tehran an advance look at his reports, the official IRNA news agency reported."
1,Afghanistan heads for vote count,"Afghans arrange votes in Kabul, capital of Afghanistan, Oct. 11, 2004. The Afghan Joint Electoral Management Body decided on Monday to suspend vote counting and start to investigate into the voting process."
1,Israeli Officer Arrested Over Killing of Gaza Girl (Reuters),Reuters - Israeli military police on Tuesday\arrested a commander accused by comrades of riddling the body\of a Palestinian schoolgirl with bullets after fellow soldiers\killed her.
4,US-European mission explores Saturn #39;s moon mysteries,This Nasa image shows Saturn #39;s lonely moon Mimas (R) seen against the blue-streaked backdrop of Saturn #39;s northern hemisphere.
2,"With Ban Pending, Hamilton Loses Ride","Tyler Hamilton, who won an Olympic gold medal for the United States in Athens, was fired last Thursday by Phonak, his Swiss cycling team, two months after testing positive for illegal blood transfusions."
1,Dive recovers Cromwell's sailor,"A sailor from a sunken ship belonging to Oliver Cromwell's navy had the upper body of a trapeze artist but bowed legs, his recovered skeleton shows."
4,London Times goes strictly tabloid,"After more than two centuries as a broadsheet newspaper, The Times of London has gone strictly tabloid. On Monday, The Times moved to a totally compact format after almost a year of dual publication."
3,Jones confirms deal to buy Barneys,"Jones Apparel Group said Thursday it struck a deal to acquire Barneys New York Inc., agreeing to pay \$400 million for the upscale clothing retailer #39;s outstanding stock and debt."
2,Showalter edges Twins #39; Gardenhire in AL,Texas #39; Buck Showalter and Atlanta #39;s Bobby Cox were named managers of the year Wednesday in balloting by the Baseball Writers #39; Association of America.
3,Probe Examining Fannie's Promises,Fannie Mae chief executive Franklin D. Raines invited reporters to his Wisconsin Avenue headquarters a year ago to complain good-naturedly that recent disclosures of accounting manipulations at smaller rival Freddie Mac had unjustly hurt his company.
4,Google Launches New Search Tool For Academics,"Google has rolled out a new search tool called, Google Scholar. Google Scholar enables you to search specifically for scholarly literature, including peer-reviewed papers, theses, books, preprints, abstracts "
4,Americans Have Dirty Paws,"New report gives them a 'C' for hand hygiene    HealthDayNews -- Americans are doing a crummy job of keeping their hands clean.    They got a ""C"" in hand hygiene in the 2004 Clean Hands Report Card produced by the Soap and Detergent Association..."
2,A new Golden Girl,It took only 49.41 seconds for Tonique Williams-Darling to etch her name in the annals of Bahamian history. Williams-Darling crossed the finish line 
2,Many NHL players head for Europe,"National Hockey League players began scattering across the globe yesterday in search of work on Day 1 of the lockout, with no negotiations scheduled between union and management."
1,US welcomes Sudan #39;s acceptance of expanded AU mission in Darfur,The United States welcomed on Friday Sudanese official #39;s announcement to accept a larger AfricanUnion (AU) mission in the western region of Darfur and urged the speedy deployment of AU troops.
1,Thailand to prosecute 300 Muslims detained in deadly riot,"BANGKOK : Thai Prime Minister Thaksin Shinawatra said the government would prosecute 300 Muslims detained at a riot this week that led to the deaths of 87 protesters, while another 900 would be released."
1,Zarqawi group claims attack on Australian soldiers in Baghdad (AFP),"AFP - The group loyal to Al-Qaeda-linked militant Abu Mussab al-Zarqawi claimed to have bombed an Australian convoy in Baghdad, in a statement posted on an Islamist website."
2,Bellhorn makes plenty of noise: Big,"Second baseman Mark Bellhorn stats, news issued the closing statement in the Red Sox stats, schedule #39; four-game sweep of the Detroit Tigers yesterday at Fenway Park."
2,"Spears, Stosur advance to quarterfinals","American Abigail Spears advanced to the quarterfinals of the Korea Open on Wednesday with a 6-3, 1-6, 6-3 win over second-seeded Shinobu Asagoe of Japan."
4,Barbarians at the Digital Gate,"How spyware, a program that creeps onto a computers hard drive unannounced, is wrecking the Internet."
1,Iran Warns Its Missiles Can Hit Anywhere in Israel," TEHRAN (Reuters) - A senior Iranian military official said  Sunday Israel and the United States would not dare attack Iran  since it could strike back anywhere in Israel with its latest  missiles, news agencies reported."
1,Iceland Offers Shelter to Fugitive Chess Player,"Fugitive chess master Bobby Fischer has been offered a new home in Iceland, where he won a classic victory in 1972, but it is unclear whether he will be able to make the move from his detention in Japan."
2,Police use stun gun to subdue T-Wolves #39; Olowokandi,Minnesota Timberwolves center Michael Olowokandi was arrested early yesterday after police used a stun gun to subdue him when he refused to leave an Indianapolis club.
1,Israelis force down Lufthansa jet,Israeli jets force a flight to Tel Aviv to land in Cyprus after a bomb alert  German officials did not consider serious.
2,Chiefs #39; offense too much for Rams in 24-7 victory,"The NFL #39;s highest-scoring offense is averaging two touchdowns every three possessions during the preseason. If Kansas City #39;s woeful defense can get its act together, too, the Chiefs could be in for big things."
1,Iran Suspends Key Nuclear Work to Avoid Sanctions,Iran on Monday froze sensitive nuclear work including uranium enrichment in a move likely to thwart US efforts to report the Islamic state to the UN Security Council for possible sanctions.
3,Manpower survey forecasts slow hiring in early 2005,Those planning to look for a job in the Kalamazoo area during the first quarter of 2005 might find the going slow. The pace of hiring among area employers is expected to be slow during the first quarter of 
4,Apple Recalls Flaming 15-inch PowerBook G4 Battery,"The affected batteries could overheat, posing a fire hazard. Apple received four reports of these batteries overheating. No injuries have been reported."
2,Tigers are right on target,"AUBURN, Ala. -- Jason Campbell passed for a career-high 297 yards and three touchdowns to lead No. 4 Auburn to a 38-20 rout of Arkansas yesterday."
1,Batman visits Buckingham Palace,"A security officer stands by as father #39;s rights campaigner Jason Hatch (R), dressed as Batman, protests on a balcony at Buckingham Palace in London, September 13, 2004."
1,Protests in Canada over Ukraine crisis (AFP),"AFP - Hundreds of Canadians, many of Ukrainian descent, braved freezing temperatures to protest what they consider to be the fixed outcome of the Ukrainian presidential election."
2,Japan #39;s baseball players avert another strike,Japan #39;s baseball players averted a second strike this weekend after agreeing that a new team will be allowed to join Japanese professional baseball next season.
2,"Giants 27, Browns 10",Kurt Warner and Michael Strahan made sure the New York Giants didn #39;t have a letdown against the injury-ravaged Cleveland Browns.
4,Piracy crackdown yields \$2.2 million,The Business Software Alliance collects out-of-court settlements from companies that violated copyright rules.
3,London oil drops to \$40 a barrel,The cost of a barrel of oil in London has dipped below \$40 as energy prices have continued to slide. The price of Brent crude in London fell to a three-week low of \$39.
2,CRICKET: Kaspa has selectors in a bind,MICHAEL Kasprowicz has put national selectors into a difficult situation with a five-wicket burst that has enhanced Australia #39;s hopes of snatching a maiden Champions Trophy in London this month.
3,Motorists Submitting to High Gas Prices (AP),"AP - Americans appear to be getting used to paying more to drive  #151; even if it means they have less money to buy other things. For example, Wal-Mart Stores Inc., the world's largest retailer, blamed disappointing sales in August on the fact that shoppers spent more just getting to and from its stores."
3,Johnson  amp; Johnson Facing Single-Digit Growth,Credit Suisse First Boston said it was  quot;still cautious quot; regarding Johnson  amp; Johnson (nyse: JNJ - news - people ) after the company reported quarterly results above Wall Street estimates.
1,Violent Protests Erupt Again in Haiti,"PORT-AU-PRINCE, Haiti Oct. 2, 2004 - Supporters of ousted President Jean-Bertrand Aristide took to the streets of Haiti #39;s capital for a second day, shooting wildly, smashing cars and blocking roads with burning tires."
1,Arafat Said to Have Liver Failure; PM to Visit," PARIS (Reuters) - Yasser Arafat, critically ill in a Paris  hospital, has suffered liver failure, a Palestinian official  said on Sunday as Arafat's subordinates decided in his absence  to enforce a law and order plan in Palestinian areas."
4,Firefox Turns Up The Browser War Heat,"Firefox, the Mozilla-based open-source browser has grown by more than a third over the past month, according to WebSideStory, an independent Web metrics firm."
2,Sherman remains confident after Packers #39; flop in Philly,"They were, in theory, the NFC #39;s second-best team. Now they #39;re not and no one else is, either. The NFC has the Philadelphia Eagles at the top, the San Francisco 49ers at the bottom and everyone else in the middle."
4,Genesis Set for Return to Earth,"Meteors are unpredictable. You never know, not exactly, when one will streak across the sky. Not so on Wednesday, September 8th. At precisely 8:52:46 a.m. Pacific Daylight Time (PDT), northwest of Bend, Oregon, a fireball will appear: a white-hot dot of light, brighter than the planet Venus, gliding across the blue morning sky."
3,Oil Prices Edge Below  #36;49 a Barrel (Reuters),Reuters - Oil prices edged below  #36;49 a barrel\on Wednesday as traders looked ahead to an expected build in\weekly U.S. inventory data that would help bolster the thin\supply cushion ahead of peak northern winter demand.
3,Symantec Said to Be in Talks for Veritas,"Symantec, which produces the Norton line of computer products, is in talks to acquire Veritas Software, a maker of data backup programs."
4,Can't Hide Your Lying ... Face?,"In search of the ultimate lie detector, researchers turn to thermal facial scans, brain wiring and eyeball tracking. But deception still, well, deceives. By Randy Dotinga."
